pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
The game initialized properly.
b1
b11
--- <engine.gameLevel.GameLevel object at 0x7f804d2fff60>
- 563.4925413131714 572.0 628.0 426.859712600708
- 566.4455926263428 572.0 628.0 431.561017036438
- 566.4455926263428 572.0 628.0 436.13719940185547
- 566.4455926263428 572.0 628.0 440.3180122375488
- 566.4455926263428 572.0 628.0 440.3180122375488
- 566.4455926263428 572.0 628.0 444.42460536956787
- 566.4455926263428 572.0 628.0 448.57780933380127
- 566.4455926263428 572.0 628.0 452.76379585266113
- 566.4455926263428 572.0 628.0 456.820011138916
- 566.4455926263428 572.0 628.0 460.8309030532837
- 566.4455926263428 572.0 628.0 464.86730575561523
- 566.4455926263428 572.0 628.0 468.9531087875366
- 566.4455926263428 572.0 628.0 473.00431728363037
- 566.4455926263428 572.0 628.0 477.0339012145996
- 566.4455926263428 572.0 628.0 481.08839988708496
- 566.4455926263428 572.0 628.0 485.13240814208984
- 566.4455926263428 572.0 628.0 489.2277002334595
- 566.4455926263428 572.0 628.0 493.22149753570557
- 566.4455926263428 572.0 628.0 497.08290100097656
- 566.4455926263428 572.0 628.0 501.04541778564453
- 566.4455926263428 572.0 628.0 505.00690937042236
- 566.4455926263428 572.0 628.0 509.1231107711792
- 566.4455926263428 572.0 628.0 513.4453058242798
- 566.4455926263428 572.0 628.0 517.6140069961548
- 566.4455926263428 572.0 628.0 521.778416633606
- 566.4455926263428 572.0 628.0 525.9555101394653
- 566.4455926263428 572.0 628.0 530.1098108291626
- 566.4455926263428 572.0 628.0 534.2900991439819
- 566.4455926263428 572.0 628.0 538.3813142776489
- 566.4455926263428 572.0 628.0 538.3813142776489
- 566.4455926263428 572.0 628.0 542.514705657959
- 566.4455926263428 572.0 628.0 546.6000080108643
- 566.4455926263428 572.0 628.0 550.7251977920532
- 672.2951316833496 665.0 777.0 550.7251977920532
- 566.4455926263428 572.0 628.0 554.7405958175659
- 670.6292915344238 665.0 777.0 554.7405958175659
- 566.4455926263428 572.0 628.0 558.9051961898804
- 668.9712905883789 665.0 777.0 558.9051961898804
- 566.4455926263428 572.0 628.0 563.0501985549927
- 667.3193645477295 665.0 777.0 563.0501985549927
- 566.4455926263428 572.0 628.0 563.0501985549927
- 666.4864253997803 665.0 777.0 563.0501985549927
- 566.4455926263428 572.0 628.0 567.1800136566162
- 664.8205471038818 665.0 777.0 567.1800136566162
- 566.4455926263428 572.0 628.0 571.3447093963623
- 664.8205471038818 665.0 777.0 571.3447093963623
- 566.4455926263428 572.0 628.0 575.5352973937988
- 664.8205471038818 665.0 777.0 575.5352973937988
- 566.4455926263428 572.0 628.0 579.6158075332642
- 664.8205471038818 665.0 777.0 579.6158075332642
- 566.4455926263428 572.0 628.0 583.4884166717529
- 664.8205471038818 665.0 777.0 583.4884166717529
- 566.4455926263428 572.0 628.0 587.3732089996338
- 664.8205471038818 665.0 777.0 587.3732089996338
- 566.4455926263428 572.0 628.0 591.1463975906372
- 664.8205471038818 665.0 777.0 591.1463975906372
- 566.4455926263428 572.0 628.0 594.8224067687988
- 664.8205471038818 665.0 777.0 594.8224067687988
- 664.8205471038818 665.0 777.0 598.5809087753296
